term,coef,se,HR,HR_lo,HR_hi,p
group_mid,4.700351507433907,0.1712940310821597,109.98582649377096,78.6191419868183,153.86687928426025,0.0
group_high,4.989919374484093,0.18687442479964975,146.92457714831028,101.86470404623051,211.91669452465854,0.0
group_mid_x_logt,-2.950320245369776,0.09106159762049797,0.05232294708356463,0.043770247348180774,0.06254684305829702,0.0
group_high_x_logt,-3.276482249294569,0.09592601870505088,0.03776085672409054,0.031288732009233836,0.0455717508819626,0.0
age,0.013136289363731226,0.0032343652340919367,1.0132229494611344,1.0068200850809637,1.0196665328067673,4.87639105983817e-05
female,0.13709615833142855,0.0513604575561555,1.1469384309037953,1.0371013533207751,1.2684081069530588,0.007601089640956404
marital,-0.0401331399295674,0.04105377701534753,0.96066152822928,0.8863897356444637,1.0411566545824542,0.3282846409583291
educ_hs,-0.13198010890443365,0.07409160382024414,0.8763584266352209,0.757903164824238,1.0133274639546654,0.07486183474108432
educ_college,-0.2745693001900935,0.08317748004593793,0.7598993412553652,0.6455857975671301,0.8944543250741094,0.0009633907209989356
smk_former,0.057061433738236876,0.05464228001513191,1.0587208495772185,0.9511938158067563,1.1784032010120071,0.29635930365593977
smk_current,0.0662422021339254,0.08067307439636856,1.068485475291027,0.9122173237743829,1.2515232731868806,0.4115784323243705
drink,-0.10288311812571665,0.05266994507694282,0.902232421935405,0.8137385058484584,1.0003500354732153,0.050777505045291216
sbp,-0.0002969280957647962,0.0013178082643325977,0.9997031159830194,0.9971243104454114,1.0022885909378014,0.8217306148462069
