cohort,n,median_ecrf,joint_p,nonlinear_p,x,hr,lo,hi
CHARLS,1698,10.641651476860046,0.006365635058999564,0.555265817199887,"[6.715642868167879, 6.850940039317116, 6.986237210466354, 7.121534381615591, 7.2568315527648295, 7.392128723914067, 7.527425895063304, 7.662723066212542, 7.798020237361779, 7.933317408511018, 8.068614579660254, 8.203911750809493, 8.339208921958729, 8.474506093107967, 8.609803264257206, 8.745100435406442, 8.88039760655568, 9.015694777704917, 9.150991948854156, 9.286289120003392, 9.42158629115263, 9.556883462301869, 9.692180633451105, 9.827477804600344, 9.962774975749582, 10.098072146898819, 10.233369318048055, 10.368666489197294, 10.503963660346532, 10.639260831495768, 10.774558002645007, 10.909855173794245, 11.045152344943482, 11.180449516092718, 11.315746687241957, 11.451043858391195, 11.586341029540431, 11.72163820068967, 11.856935371838908, 11.992232542988145, 12.127529714137381, 12.26282688528662, 12.398124056435858, 12.533421227585094, 12.668718398734333, 12.804015569883571, 12.939312741032808, 13.074609912182044, 13.209907083331284, 13.345204254480521, 13.480501425629758, 13.615798596778996, 13.751095767928234, 13.88639293907747, 14.021690110226707, 14.156987281375947, 14.292284452525184, 14.42758162367442, 14.562878794823659, 14.698175965972897]","[1.633809570936576, 1.6079306108668947, 1.5824615642817477, 1.5573959382979454, 1.5327273428772485, 1.508449489197342, 1.4845561880486093, 1.4610413482563043, 1.4378989744055821, 1.4151176452150436, 1.3926678449828238, 1.3705177767761152, 1.3486374431550023, 1.3269985896111862, 1.305574654173411, 1.2843407225896826, 1.263273488522607, 1.242351218217433, 1.221553719123103, 1.200862311965208, 1.1802598057865392, 1.1597304754863553, 1.1392600414038032, 1.1188356505045385, 1.098455841024502, 1.0781954777029992, 1.0581589806878182, 1.0384434379691536, 1.0191386527212591, 1.0003274770096522, 0.982086216654553, 0.964485096928396, 0.9475887798433532, 0.931456924974022, 0.9161447870327599, 0.9017038447483953, 0.8881824569769469, 0.8756265433853628, 0.8640802884919979, 0.8535780202984319, 0.844071227791691, 0.8354701916094137, 0.8276901889240955, 0.8206512492359197, 0.8142775053121436, 0.8084966220999895, 0.8032392961947526, 0.7984388196743555, 0.794030703161637, 0.7899523538685282, 0.7861428051299331, 0.7825424945640589, 0.7790930885116294, 0.7757373508180068, 0.7724208768126315, 0.769119244507722, 0.7658317246850151, 0.7625582570221804, 0.7592987814547295, 0.756053238174913]","[0.9474324469645583, 0.9462071685408412, 0.944871126392108, 0.9434150242992807, 0.9418286060865622, 0.9401005469054128, 0.9382183334827692, 0.9361681331791921, 0.9339346539625321, 0.9315150859100706, 0.9289568540527372, 0.9263260974893264, 0.923698464920153, 0.9211591255978806, 0.9188025296038487, 0.9167319846387016, 0.9150591286171597, 0.9139033821041036, 0.9133914611686595, 0.9136570187352646, 0.9148404587178145, 0.9170889249241659, 0.920556384360411, 0.9254035375932879, 0.9318090213606213, 0.9400567727049739, 0.9505095468639311, 0.9635831066122907, 0.9797611505702363, 0.9996123161016968, 0.9420625154159608, 0.8832774110730436, 0.8248254809193546, 0.7668666688203734, 0.7095866252862373, 0.6531978568544191, 0.5979383599921045, 0.5440676954056252, 0.4918606650085595, 0.44161916352276054, 0.39381018921324473, 0.3489002712018188, 0.30722422334009614, 0.2689860634067877, 0.2342698149666053, 0.20305592455289664, 0.17524049862402805, 0.15065514506747546, 0.12908583220954087, 0.11028974655902686, 0.09400959862904536, 0.07998518507674977, 0.06796227130250182, 0.057699025278868776, 0.048969528768640844, 0.04155672743568192, 0.035263340435519916, 0.029921074798254923, 0.025386718472500958, 0.02153847094627214]","[2.817439620773103, 2.7324257681854474, 2.650292227672364, 2.5709598068235757, 2.494353104611089, 2.4204005294432203, 2.3490343311585837, 2.2801906470213162, 2.213809554902298, 2.149785848977972, 2.087851247329292, 2.0277081489448032, 1.969065687726228, 1.9116406795483294, 1.855159430563328, 1.7993602485161395, 1.7439964882004355, 1.6888399579535915, 1.6336845176921881, 1.578349711902415, 1.5226843061878168, 1.4665696414151157, 1.4099228075433605, 1.3526998352475215, 1.2949061524634833, 1.2366332777903806, 1.178000191691469, 1.1191196342705172, 1.0600987729162321, 1.0010431495710916, 1.0238103322866938, 1.0531589402551254, 1.0886236136693836, 1.131372686228048, 1.1828313005036288, 1.2447527423765725, 1.3193133768705232, 1.409239787540364, 1.5179801884491437, 1.649827491462651, 1.8091361196344868, 2.0006016007482876, 2.2298731571137655, 2.5037299863896263, 2.8302743814941937, 3.219146594153234, 3.6817594792153607, 4.231548471029332, 4.88422894109648, 5.658048375770376, 6.574014984323262, 7.656077249942448, 8.931220645420737, 10.42943853116572, 12.18378093354387, 14.234624542745165, 16.631953277553336, 19.434298375759553, 22.71008914142026, 26.53932585932738]"
ELSA,2610,9.417877125167845,0.0,0.6344882303213475,"[5.190039198532099, 5.333842778684191, 5.477646358836282, 5.621449938988373, 5.765253519140464, 5.909057099292556, 6.052860679444647, 6.196664259596739, 6.34046783974883, 6.484271419900922, 6.628075000053013, 6.7718785802051045, 6.915682160357196, 7.059485740509287, 7.203289320661378, 7.34709290081347, 7.490896480965562, 7.634700061117653, 7.778503641269744, 7.9223072214218355, 8.066110801573927, 8.20991438172602, 8.35371796187811, 8.497521542030201, 8.641325122182293, 8.785128702334385, 8.928932282486475, 9.072735862638567, 9.216539442790658, 9.36034302294275, 9.504146603094842, 9.647950183246932, 9.791753763399024, 9.935557343551116, 10.079360923703206, 10.223164503855298, 10.36696808400739, 10.510771664159481, 10.654575244311573, 10.798378824463665, 10.942182404615755, 11.085985984767847, 11.229789564919937, 11.373593145072029, 11.51739672522412, 11.661200305376212, 11.805003885528304, 11.948807465680396, 12.092611045832488, 12.236414625984578, 12.38021820613667, 12.52402178628876, 12.667825366440852, 12.811628946592943, 12.955432526745035, 13.099236106897127, 13.243039687049219, 13.38684326720131, 13.530646847353399, 13.67445042750549]","[2.2417232948718304, 2.186079574099687, 2.1318170334528745, 2.078901389484633, 2.027299209726798, 1.9769778915669332, 1.9279056416497817, 1.8800514557899992, 1.8333850993835004, 1.7878770517880438, 1.7434774915555962, 1.7000843404259496, 1.6575947613580868, 1.6159145429123918, 1.5749576789546564, 1.534645996952959, 1.4949088281170746, 1.455682713104802, 1.4169111374402692, 1.3785442911671502, 1.3405388476048428, 1.3028577563972399, 1.2654700463500146, 1.228350633850744, 1.1914801329633302, 1.154844685686215, 1.1184930008844531, 1.082647392951409, 1.0475385049591104, 1.0133682156611266, 0.9803112977224185, 0.9485174120417701, 0.9181133507731842, 0.8892054530065053, 0.8618821291434277, 0.8362141877444637, 0.8121729429504525, 0.7896183724987041, 0.7684152760785028, 0.748440065978347, 0.7295795212621822, 0.7117296947474493, 0.6947949539951852, 0.6786871401243824, 0.6633248304754418, 0.6486326930296923, 0.6345409220929338, 0.6209847461120588, 0.6079039996497472, 0.5952427525222501, 0.5829489899341308, 0.5709743381425361, 0.5592738867135555, 0.5478160640731726, 0.5365929774052305, 0.5255998176828759, 0.5148318744016039, 0.5042845335608351, 0.4939532756868421, 0.4838336738961817]","[1.4419621055446052, 1.4233194931831763, 1.4047980163528793, 1.3863886937519811, 1.3680818702804771, 1.3498671344595894, 1.3317332267578024, 1.3136679384393684, 1.2956580008788618, 1.277688979490867, 1.2597538864226745, 1.241872327053402, 1.2240769679023946, 1.2064100625100074, 1.1889228887368573, 1.1716748516897122, 1.1547323344487432, 1.1381673885508556, 1.1220563576864324, 1.1064785209802976, 1.0915148267920542, 1.0772467639146657, 1.063755381098487, 1.0511204050415146, 1.039419277263136, 1.0287255958519537, 1.0191680261779652, 1.0110722909602874, 1.004824723738459, 1.000849449168742, 0.9613732282543487, 0.8981712017330731, 0.836521178578092, 0.7764892338233845, 0.7181358225741702, 0.6615281789500224, 0.6068411884623471, 0.5543766249374508, 0.5044172254946707, 0.4571969395341197, 0.41288951450637257, 0.37160488301865063, 0.333391058781037, 0.2982395949543319, 0.26609310547986026, 0.23685374340140233, 0.21039184740180877, 0.18655421669960354, 0.16517166730242414, 0.14606567001417012, 0.12905398099176854, 0.11395525585055828, 0.10059264881736886, 0.08878924017228071, 0.07836665177814316, 0.06916440856173542, 0.06104039520212248, 0.05386884149194738, 0.04753850116491208, 0.041951015429290604]","[3.4850592199668347, 3.3576044782524694, 3.2350870454092524, 3.1173299426620216, 3.0041638406598428, 2.8954268786676964, 2.790964502818568, 2.690629323432508, 2.594280991095978, 2.5017859617009837, 2.4129425567345337, 2.3273622429604637, 2.244646754190756, 2.164421444366147, 2.086335214837674, 2.0100613515492936, 1.935299062573849, 1.861775502046442, 1.7892480690914883, 1.7175067809051305, 1.6463765382090194, 1.5757191297897581, 1.5054348646917373, 1.4354637893476456, 1.365786587087635, 1.2964256488176498, 1.2274978815014919, 1.1592893880527886, 1.0920679930021193, 1.0260435686557279, 0.9996224277923826, 1.0016857356486406, 1.0076638182679, 1.0182837098245578, 1.0344015452036392, 1.0570285439616338, 1.0869810780843643, 1.1246815723116939, 1.1705826182516836, 1.2252105907193385, 1.289173638816007, 1.3631660441875126, 1.447969330257964, 1.5444503076150742, 1.653555923336675, 1.7763045009338876, 1.9137727377885514, 2.067077666353696, 2.2373526817618807, 2.4257166957567238, 2.6332355054347274, 2.860874580851639, 3.1094447162592216, 3.3799415275355837, 3.674165182094916, 3.994181025949061, 4.342236940344261, 4.720778909393916, 5.132468053953898, 5.580199229991209]"
HRS,2252,8.934515499999996,0.0,0.06402990245269691,"[4.579191839999995, 4.7229592715254185, 4.866726703050842, 5.010494134576266, 5.15426156610169, 5.298028997627114, 5.441796429152538, 5.585563860677961, 5.729331292203385, 5.873098723728809, 6.016866155254233, 6.160633586779656, 6.30440101830508, 6.448168449830503, 6.591935881355927, 6.735703312881351, 6.879470744406775, 7.023238175932199, 7.1670056074576225, 7.310773038983046, 7.45454047050847, 7.598307902033893, 7.742075333559317, 7.885842765084741, 8.029610196610165, 8.173377628135588, 8.317145059661012, 8.460912491186436, 8.60467992271186, 8.748447354237284, 8.892214785762707, 9.035982217288131, 9.179749648813555, 9.323517080338979, 9.467284511864403, 9.611051943389826, 9.75481937491525, 9.898586806440674, 10.042354237966098, 10.186121669491522, 10.329889101016946, 10.473656532542368, 10.617423964067793, 10.761191395593215, 10.90495882711864, 11.048726258644063, 11.192493690169488, 11.33626112169491, 11.480028553220336, 11.623795984745758, 11.767563416271184, 11.911330847796606, 12.055098279322031, 12.198865710847453, 12.342633142372879, 12.486400573898301, 12.630168005423725, 12.773935436949149, 12.917702868474572, 13.061470299999996]","[1.920183467370598, 1.8926808131475623, 1.865572077527705, 1.8388516184422752, 1.8125138746334821, 1.7865533644970422, 1.7609646849413092, 1.7357425102627422, 1.7108815910374824, 1.6863767530288032, 1.662200698385484, 1.63817468693683, 1.6140659831422046, 1.5896555995227006, 1.5647387995735043, 1.5391256261687298, 1.5126416673425351, 1.4851290196814453, 1.4564474066229158, 1.4264754056138522, 1.3951117346043458, 1.3622765450191372, 1.3279126654602194, 1.291986738255311, 1.2544901898848273, 1.2154399765883144, 1.1749826032979658, 1.1337256955049253, 1.0923419368317162, 1.0514260238007085, 1.0114950633200301, 0.9729917929533993, 0.9362899981214439, 0.9017015617477946, 0.8694846590171145, 0.8398527009953503, 0.8129780356453343, 0.7888093361327458, 0.7670589871290941, 0.7474570480112681, 0.7297628412724364, 0.7137605548496654, 0.6992555177164418, 0.6860710420353806, 0.6740457450203791, 0.6630312797826792, 0.6528904175566725, 0.6434954343872101, 0.6347267640562628, 0.6264718860825109, 0.6186244233167015, 0.6110834281932428, 0.6037528402531619, 0.5965448876052407, 0.5894236427216882, 0.5823874075829933, 0.5754351673867109, 0.5685659194445837, 0.5617786730379286, 0.5550724492747509]","[1.2228738918499293, 1.2197661471144057, 1.2165627209530123, 1.2132556182925671, 1.2098360223179787, 1.2062941994432663, 1.202619393619752, 1.1987997093277198, 1.1948219828440398, 1.1906716417887475, 1.1863249849764919, 1.1817069707014436, 1.1767296602224506, 1.1713169980440261, 1.1654052187026727, 1.158942821865604, 1.151890216491693, 1.144219067389166, 1.1359113923570605, 1.1269584662561245, 1.117359588253982, 1.1071207583498333, 1.0962532852704148, 1.0847722991782358, 1.0726950373969235, 1.060038508342634, 1.0469157002892566, 1.0338811690862308, 1.0216085046876318, 1.0107720802891353, 1.002057569512462, 0.9503481895857089, 0.8820413253846656, 0.8163533687152531, 0.7534602893817448, 0.6934771010244072, 0.6364714964752625, 0.5824845857954786, 0.5315610671005042, 0.48374176391680934, 0.4390479943812587, 0.3974730791122909, 0.3589793781665375, 0.3234990177545931, 0.29093687809232427, 0.26117481841876566, 0.23407643190283126, 0.20949185603244305, 0.187262332191478, 0.16722432879106394, 0.14921312845396928, 0.13306584053572915, 0.11862384222855407, 0.10573371903444935, 0.0942390783891858, 0.08399026735196351, 0.07485318420064198, 0.066707916778317, 0.059447311610273564, 0.05297566515689387]","[3.0151142917816514, 2.9368257751138658, 2.860813599256639, 2.7870262652535134, 2.7154147216121114, 2.6459324148858383, 2.5785353521339665, 2.513182175880546, 2.449834251947325, 2.3884557701261993, 2.3289665114554934, 2.2709659597993452, 2.2139401138612578, 2.1574048095551457, 2.100906595918881, 2.0440246476663484, 1.9863740320233076, 1.9276100774414122, 1.8674335538240912, 1.8055963407250775, 1.7419072360332526, 1.6762375478130755, 1.6085261232806203, 1.538783515298201, 1.4670951031303645, 1.3936232741193013, 1.3187156498574024, 1.2432124610453406, 1.1679727620573235, 1.09371509669038, 1.0210214405331806, 0.9961749172872915, 0.9938751568130255, 0.9959727461380905, 1.0033754703734286, 1.0171245140282723, 1.0384334414061773, 1.0682173982688987, 1.1068897369495738, 1.1549386062887042, 1.2129740058431115, 1.2817324151791807, 1.3620790184500562, 1.4550074308929797, 1.5616365630894717, 1.6832039192438122, 1.8210543191903907, 1.976622776271821, 2.1514100582566016, 2.34694931586265, 2.564762102967229, 2.8063021637182644, 3.072885562174252, 3.3656794273168797, 3.6865834910284088, 4.038266613557939, 4.42366794948627, 4.846009594755337, 5.308823375382299, 5.815980281349545]"
