analysis,cohort,term,n,events,HR,lo,hi,p
excl-out-of-range,CHARLS,mid,1600,1044,0.7130936594134754,0.5985284639789412,0.8495879439304209,0.0001542055946834875
excl-out-of-range,CHARLS,high,1600,1044,0.7159355540434684,0.5872186031539696,0.8728669609418577,0.0009508624579259717
excl-out-of-range,ELSA,mid,2522,1580,0.822468860650836,0.7128106995195849,0.9489967353130314,0.007427391597870203
excl-out-of-range,ELSA,high,2522,1580,0.585564264447202,0.49384483417331543,0.6943183041928035,7.392073619882922e-10
excl-out-of-range,HRS,mid,2115,1545,0.8001989834157621,0.6952383067383325,0.921005656411013,0.0018894256609005566
excl-out-of-range,HRS,high,2115,1545,0.514256987459734,0.4358608734334212,0.606753818180374,3.3306690738754696e-15
