analysis,cohort,term,n,events,HR,lo,hi,p
SEN-5 complete-case,CHARLS,mid,1698,1118,0.7246720301597727,0.6102157482975242,0.8605965230511194,0.00024093533793534405
SEN-5 complete-case,CHARLS,high,1698,1118,0.7281500745324615,0.6014211311834878,0.881582810364988,0.001146263425757521
SEN-5 complete-case,ELSA,mid,2411,1507,0.7963280785071736,0.6917143619748941,0.9167633975510016,0.0015273233205033154
SEN-5 complete-case,ELSA,high,2411,1507,0.5859288121961849,0.49385635265273414,0.6951668660685221,8.857303779308268e-10
SEN-5 complete-case,HRS,mid,2251,1658,0.7859108151591727,0.6883341292796804,0.8973197508461658,0.00036828527182897197
SEN-5 complete-case,HRS,high,2251,1658,0.5042174804837896,0.4289935578165791,0.5926319008597369,0.0
