cohort,term,HR,lo,hi,p,m
CHARLS,中 eCRF vs 低,0.8567802044634365,0.7614676209517148,0.9640230241739406,0.010201008971105763,20
CHARLS,高 eCRF vs 低,0.7916490082421533,0.6921003776134314,0.90551626978136,0.0006555249532003149,20
ELSA,中 eCRF vs 低,0.8104459814572011,0.7113330042367818,0.9233687807932627,0.0015888827150909446,20
ELSA,高 eCRF vs 低,0.5669093136914298,0.4859997664343156,0.6612887333424765,5.053735208093713e-13,20
HRS,中 eCRF vs 低,0.7545971779237949,0.6726038721308507,0.8465858204571545,1.6041380073161804e-06,20
HRS,高 eCRF vs 低,0.5083053148977943,0.44269479108094645,0.5836397860531914,0.0,20
