window,term,n,events,HR,lo,hi,p
≤5 年,group_mid,2252,1096,0.8085289959609976,0.6908092256827402,0.9463092167937038,0.008111332641476343
≤5 年,group_high,2252,1096,0.5337853327307769,0.4382778054566318,0.6501054305993145,4.3398062921085057e-10
≤10 年,group_mid,2252,1544,0.7986196180985495,0.6970027570176043,0.9150513222371145,0.001201560436957294
≤10 年,group_high,2252,1544,0.5156690876744767,0.43641662948734666,0.6093136466760991,7.327471962526033e-15
完整随访,group_mid,2252,1659,0.7895281428375739,0.6910288201889846,0.9020675695726724,0.0005090080931520191
完整随访,group_high,2252,1659,0.5029277120395071,0.42783856393690245,0.5911956164255366,0.0
