class,time,mean,std,count
1,0,6.33088084352518,0.7306548662040703,278
1,4,5.633564610909091,0.8679772709872725,275
1,8,5.2902673493150685,1.045413993869953,219
1,12,5.205515179856115,1.1632914265006244,139
2,0,12.000914474402729,0.7416991560652727,293
2,4,11.37266614716312,0.8860596568931921,282
2,8,10.717979407473308,1.0466347696795493,281
2,12,10.11144215876777,1.2670715020783139,211
3,0,8.172198895460797,0.6205697143911377,727
3,4,7.540923356575342,0.7797159317539653,730
3,8,7.068432092319054,0.9881057211659138,677
3,12,6.546959078629032,1.200896789651378,496
4,0,9.970638097116842,0.6206892005892778,659
4,4,9.355791005873492,0.8028714667166067,664
4,8,8.798538651898733,0.928839676867448,632
4,12,8.254499123493975,1.1764434289629082,498
