dataset,n,event_rate,brier,calib_intercept,calib_slope,CITL
CHARLS_compsex,7918,0.43521091184642585,0.2650261051240736,-0.22979517257532575,0.10728573201652823,0.0021225055091531955
CHARLS_ecrf,2458,0.4548413344182262,0.2596270249924722,-0.1014645002134721,0.29874488947020666,0.06588141833269469
ELSA_compsex,4008,0.5481536926147704,0.25571958476305046,0.18543191994217773,0.18976095162017503,0.054033757371081965
ELSA_ecrf,3093,0.581312641448432,0.25625945881226053,0.22408335148830563,0.27247999596605044,-0.006662174876705916
HRS_compsex,5770,0.6961871750433276,0.22283733105305575,0.7065132426402434,0.1259131242106096,0.03324741426035692
HRS_ecrf,2334,0.7107969151670951,0.1980989221746711,0.3219198321204874,0.6197719117586795,0.015562118481286111
ALL_compsex,17696,0.5458860759493671,0.2505333200435276,0.11758766055301566,0.2907415152329085,-0.009463175392036829
ALL_ecrf,7885,0.5802155992390615,0.24135437212360292,0.17473203158847406,0.4883137491571582,0.04228528185672273
