class,time,mean,std,count
1,0,12.432364626478977,0.7231654614770187,421
1,4,11.841493064232521,0.8622480859737676,411
1,8,11.2998122616111,1.1346124677081695,392
2,0,6.525592731413802,0.7933638652750221,246
2,4,5.997018088641696,0.9129441028839642,225
2,8,5.663767975949969,1.2210789797419785,175
3,0,10.419221151844983,0.5746477019151177,735
3,4,9.845485343021673,0.7352897795248811,754
3,8,9.367089499120091,0.9816708321653587,661
4,0,8.657657420088496,0.598549637893586,947
4,4,8.064399747181454,0.8158404206468363,923
4,8,7.626037180260216,0.9894513797307232,834
