analysis,cohort,term,n,events,HR,lo,hi,p
SEN-5 complete-case,CHARLS,mid,1698,1118,0.7269352284189992,0.612058863939415,0.8633725568736962,0.00027906920377307465
SEN-5 complete-case,CHARLS,high,1698,1118,0.7307006801437007,0.6033814244449028,0.8848855174049552,0.0013181137151954125
SEN-5 complete-case,ELSA,mid,2411,1507,0.7988582488337602,0.6937662284452798,0.9198696557482797,0.0018046207558684024
SEN-5 complete-case,ELSA,high,2411,1507,0.5852482667785732,0.4932079978712147,0.69446467868666,8.428895359458011e-10
SEN-5 complete-case,HRS,mid,2251,1658,0.7851314460697358,0.6875791478601416,0.8965242612810312,0.00035203007440887113
SEN-5 complete-case,HRS,high,2251,1658,0.5041531980589793,0.4289702383825889,0.5925130099268274,0.0
