term,coef,se,HR,HR_lo,HR_hi,p
group_mid,4.696338947242497,0.1712100450527806,109.545385982741,78.3172009493575,153.22549126682182,0.0
group_high,4.987213554686208,0.18684973848596545,146.5275630851494,101.5943646186011,211.33383553580882,0.0
group_mid_x_logt,-2.9481204051362075,0.09102330836301632,0.052438175903726396,0.04386993306655212,0.06267988346229461,0.0
group_high_x_logt,-3.276092133805463,0.09593312027712571,0.037775590692968396,0.03130050493214837,0.04559016716490829,0.0
age,0.013245556747794188,0.0032369952382948633,1.0133336677311324,1.0069249131702804,1.019783211962082,4.277984706724247e-05
female,0.13829283092492786,0.05157965559479197,1.148311762240588,1.0378971613162753,1.2704725982946066,0.007336946138665645
marital,-0.03382907158132045,0.05871444957259042,0.9667367332970696,0.8616471828493683,1.0846433785291805,0.5645052629309808
educ_hs,-0.13074225182042784,0.07411258582355924,0.8774439048165821,0.7588107150044607,1.014624320500331,0.07771460126259289
educ_college,-0.2727368207121057,0.08318667824135043,0.7612931178470297,0.6467582447250858,0.8961110523262137,0.0010431905123144958
smk_former,0.058929198347929,0.05458719345701966,1.0607001387593422,0.9530749797480589,1.180478774777509,0.2803459335240295
smk_current,0.06431480132218312,0.08089456408597785,1.0664280588885586,0.9100656453859087,1.249655791920995,0.426587451192582
drink,-0.10519803118489526,0.052588839523889125,0.9001462479068232,0.8119860192413774,0.9978783481737101,0.04545849053179607
sbp,-0.00034433240740576297,0.0013192561122892714,0.9996557268681939,0.9970742140909226,1.0022439234089455,0.7940886714101139
