cohort,term,HR,lo,hi,p,m
CHARLS,中 eCRF vs 低,0.8577506971273258,0.7636074799202067,0.9635005912976313,0.009685839191762025,20
CHARLS,高 eCRF vs 低,0.7911395407162907,0.693972092818149,0.9019120211924674,0.00045809855615264183,20
ELSA,中 eCRF vs 低,0.8104744856627228,0.7113002624605473,0.9234762400311765,0.0016025222541944384,20
ELSA,高 eCRF vs 低,0.5664604548379393,0.4856139402675676,0.6607665478433451,4.696243394164412e-13,20
HRS,中 eCRF vs 低,0.755244359690017,0.6757706262335638,0.8440645696938607,7.483168749100599e-07,20
HRS,高 eCRF vs 低,0.5080447926343153,0.44274026423204116,0.5829817890418224,0.0,20
