window,term,n,events,HR,lo,hi,p
≤5 年,group_mid,2252,1096,0.8066347635602019,0.6890629899969232,0.9442672893906667,0.007507194257200478
≤5 年,group_high,2252,1096,0.5335529383848363,0.43814615524752726,0.6497346482437255,4.107176820866698e-10
≤10 年,group_mid,2252,1544,0.7974453318059083,0.6958853089963086,0.9138273922411667,0.0011278776729541917
≤10 年,group_high,2252,1544,0.5155972003219206,0.43639666775361896,0.609171638152588,6.8833827526759706e-15
完整随访,group_mid,2252,1659,0.7886891738053788,0.6901843914279002,0.9012527965040066,0.00048768087569750485
完整随访,group_high,2252,1659,0.5029029780006522,0.42785179478058405,0.5911191874551456,0.0
