analysis,cohort,term,n,events,HR,lo,hi,p
excl-out-of-range,CHARLS,mid,1600,1044,0.7157765354004583,0.6007989664179816,0.8527578728779744,0.0001819555397173378
excl-out-of-range,CHARLS,high,1600,1044,0.7207568018385262,0.5910224844909387,0.8789688734836365,0.0012200707619087758
excl-out-of-range,ELSA,mid,2522,1580,0.8237937383302427,0.7138958069919976,0.9506094820356937,0.007969428168747683
excl-out-of-range,ELSA,high,2522,1580,0.5854005768512972,0.493667175732058,0.6941799095101908,7.377320976331703e-10
excl-out-of-range,HRS,mid,2115,1545,0.7994958353220643,0.6945754573934165,0.9202651546256372,0.00182280074560226
excl-out-of-range,HRS,high,2115,1545,0.5143276218954945,0.43594775662653723,0.6067995502298037,3.3306690738754696e-15
